Symbol;PREV. CLOSE;IEP  Price;Chng;%Chng;Final Price;FinalQuantity;Value(₹ Lakhs);FFM CAP(₹ Lakhs);NM 52w H;NM 52w L
INDUSINDBK;946.40;960.00;13.60;1.44;960.00;66,660;639.94;57,14,242.21;1,242.00;789.00
TATACONSUM;777.50;781.65;4.15;0.53;781.65;2,980;23.29;46,57,291.98;889.00;551.00
POWERGRID;203.20;204.25;1.05;0.52;204.25;14,190;28.98;69,45,318.91;216.45;136.88
TITAN;2,373.15;2,385.40;12.25;0.52;2,385.40;2,297;54.79;99,02,193.71;2,677.90;1,396.00
DRREDDY;4,594.25;4,610.00;15.75;0.34;4,610.00;465;21.44;55,80,610.21;5,614.60;4,135.00
ITC;235.40;236.20;0.80;0.34;236.20;3,13,927;741.50;2,05,91,454.16;265.30;196.90
HINDUNILVR;2,339.75;2,347.00;7.25;0.31;2,347.00;1,188;27.88;2,08,90,333.39;2,859.30;2,120.00
HDFCLIFE;683.15;684.90;1.75;0.26;684.90;4,672;32.00;63,57,672.43;775.65;617.40
IOC;119.70;120.00;0.30;0.25;120.00;32,757;39.31;30,42,562.02;141.50;84.20
ULTRACEMCO;7,433.85;7,450.00;16.15;0.22;7,450.00;131;9.76;85,83,407.66;8,269.00;4,865.45
ICICIBANK;755.00;756.50;1.50;0.20;756.50;43,375;328.13;5,23,47,596.12;867.00;488.20
ASIANPAINT;3,178.70;3,184.00;5.30;0.17;3,184.00;1,802;57.38;1,43,30,309.47;3,505.00;2,260.00
CIPLA;894.50;895.00;0.50;0.06;895.00;852;7.63;45,45,775.50;1,005.00;738.10
NTPC;126.05;126.10;0.05;0.04;126.10;7,490;9.44;59,89,097.35;152.10;88.15
COALINDIA;152.65;152.65;0.00;0.00;152.65;28,110;42.91;31,98,517.63;203.80;123.40
LT;1,879.80;1,879.80;0.00;0.00;1,879.80;4,292;80.68;2,27,08,062.36;1,981.75;1,148.05
BRITANNIA;3,623.90;3,623.90;0.00;0.00;3,623.90;261;9.46;42,77,124.83;4,153.00;3,317.30
HEROMOTOCO;2,520.95;2,520.70;-0.25;-0.01;2,520.70;978;24.65;32,73,862.73;3,629.05;2,408.90
TECHM;1,611.20;1,611.00;-0.20;-0.01;1,611.00;5,585;89.97;99,99,384.29;1,638.25;890.00
SBILIFE;1,161.35;1,161.00;-0.35;-0.03;1,161.00;579;6.72;51,10,922.04;1,273.90;825.20
SBIN;488.65;488.50;-0.15;-0.03;488.50;32,852;160.48;1,87,52,349.13;542.30;248.25
UPL;742.20;741.95;-0.25;-0.03;741.95;2,777;20.60;40,82,936.67;864.70;416.10
HINDALCO;455.65;455.40;-0.25;-0.05;455.40;17,796;81.04;66,55,335.89;551.85;224.55
BPCL;393.75;393.50;-0.25;-0.06;393.50;9,121;35.89;37,58,230.38;503.00;357.00
KOTAKBANK;1,916.35;1,915.00;-1.35;-0.07;1,915.00;4,282;82.00;2,81,21,240.32;2,253.00;1,626.00
BAJAJFINSV;17,596.60;17,580.00;-16.60;-0.09;17,580.00;252;44.30;1,06,41,056.20;19,325.00;8,273.70
ADANIPORTS;769.75;768.85;-0.90;-0.12;768.85;4,199;32.28;56,57,898.30;901.00;427.20
M&M;851.10;850.10;-1.00;-0.12;850.10;11,193;95.15;81,47,225.04;979.00;660.25
HDFCBANK;1,526.85;1,524.90;-1.95;-0.13;1,524.90;34,648;528.35;6,67,93,381.50;1,725.00;1,342.00
WIPRO;643.20;642.15;-1.05;-0.16;642.15;13,036;83.71;95,16,289.64;739.85;347.10
INFY;1,763.45;1,760.00;-3.45;-0.20;1,760.00;12,884;226.76;6,53,76,495.31;1,848.00;1,145.00
TATASTEEL;1,176.85;1,173.45;-3.40;-0.29;1,173.45;23,892;280.36;92,02,150.93;1,534.50;585.00
NESTLEIND;19,284.75;19,221.00;-63.75;-0.33;19,221.00;65;12.49;68,79,606.02;20,609.15;16,002.10
BHARTIARTL;713.95;711.00;-2.95;-0.41;711.00;10,104;71.84;1,68,60,441.33;781.80;475.40
SHREECEM;26,416.50;26,305.00;-111.50;-0.42;26,305.00;13;3.42;35,26,570.19;32,048.00;22,531.00
EICHERMOT;2,542.95;2,532.20;-10.75;-0.42;2,532.20;514;13.02;35,45,732.65;3,037.00;2,303.70
GRASIM;1,722.75;1,715.00;-7.75;-0.45;1,715.00;3,335;57.20;65,75,748.27;1,893.00;863.35
TCS;3,601.75;3,585.00;-16.75;-0.47;3,585.00;26,525;950.92;3,73,04,563.19;3,989.90;2,732.45
AXISBANK;693.95;690.10;-3.85;-0.55;690.10;25,822;178.20;1,78,74,011.42;866.90;568.40
MARUTI;7,421.75;7,380.00;-41.75;-0.56;7,380.00;989;72.99;98,64,635.82;8,368.00;6,400.00
DIVISLAB;4,576.95;4,550.00;-26.95;-0.59;4,550.00;1,585;72.12;58,32,174.80;5,425.10;3,153.30
JSWSTEEL;674.10;670.00;-4.10;-0.61;670.00;13,131;87.98;66,80,738.02;776.50;344.00
BAJAJ-AUTO;3,341.00;3,320.20;-20.80;-0.62;3,320.20;1,635;54.29;43,50,488.46;4,361.40;3,172.00
RELIANCE;2,456.45;2,440.25;-16.20;-0.66;2,440.25;87,134;2,126.29;7,94,19,877.77;2,751.35;1,830.00
HDFC;2,842.05;2,823.30;-18.75;-0.66;2,823.30;43,013;1,214.39;5,12,94,811.87;3,021.10;2,267.00
SUNPHARMA;759.75;754.20;-5.55;-0.73;754.20;7,986;60.23;82,03,026.35;851.00;539.70
ONGC;147.35;146.25;-1.10;-0.75;146.25;21,268;31.10;53,75,742.01;172.75;86.60
BAJFINANCE;7,440.30;7,374.00;-66.30;-0.89;7,374.00;2,077;153.16;1,97,60,061.22;8,050.00;4,362.00
HCLTECH;1,168.55;1,155.20;-13.35;-1.14;1,155.20;13,628;157.43;1,26,84,213.39;1,377.75;850.00
TATAMOTORS;493.95;487.75;-6.20;-1.26;487.75;57,190;278.94;88,56,356.51;536.70;156.70
